X,Y
7.624237511,7.703723688
2.254537258,7.120122869
5.81218753,7.57354872
3.037027851,7.021652865
3.700927955,7.198530775
6.457463977,7.394201582
6.520242946,7.196886579
3.793716577,7.268637715
2.780911518,7.207461571
8.166196897,7.736748336
8.23089965,7.742842331
7.76216601,7.510756199
2.67148433,7.145057281
1.683815838,7.201838367
8.661140408,7.620570272
7.662604559,7.598070684
9.312333497,7.769217405
5.694656971,7.448395536
3.064104545,7.311863677
5.705213453,7.251418001
2.380799284,7.20677396
9.766109249,7.672201447
3.073896725,7.178524659
1.498048563,6.904073583
0.008790942,6.945270864
3.231736174,7.224957061
1.520733564,7.192790095
7.726132686,7.556705479
6.578911559,7.585670118
6.207964946,7.365841862
2.057481196,7.0767469
5.64367407,7.337897647
9.452196958,7.656731115
5.400800278,7.423072904
8.930331008,7.782935489
5.536092419,7.311501639
8.095936655,7.729565193
1.634049518,6.955118097
3.299511793,7.288092674
4.66402114,7.23185312
0.937306397,7.018655643
0.154572154,6.893362329
2.174058695,6.959077019
4.049416084,7.244353446
6.640308688,7.609482052
9.530860258,7.800955888
1.905276114,7.003851304
7.87434795,7.693176266
1.743768127,7.045934632
2.743320844,7.484117216
